url, title,
http://www.google.com/alerts, Google Alerts,,
http://www.google.co.uk/tagmanager/, Tag Manager,,

http://www.duolingo.com, DuoLingo,,
http://www.espanol-ingles.com.mx/spanish-grammar/verbs/frequent-verbs-Modal.html, Modal Spanish Verbs,,
http://users.ipfw.edu/jehle/courses/PASTSUBJ.HTM, The Past Subjunctive,,
http://www.espanol-ingles.com.mx, Spanish-English Grammer Guide,,
http://users.ipfw.edu/jehle/S210.HTM, S210 - 2nd Year Spanish Composition - Indiana University,,

http://webdesign.tutsplus.com/articles/the-truth-about-multiple-h1-tags-in-the-html5-era--webdesign-16824, The Truth About Multiple H1 Tags in the HTML5 Era,,

https://medium.com/@Heydon/things-to-avoid-when-writing-css-1a222c43c28f#.lhhmoz7qs, Things to Avoid When Writing CSS,,
http://www.w3.org/TR/cssom/, CSSOM,,

http://www.smashingmagazine.com/2015/11/flexbox-interfaces-tracks-case-study, Flexbox For Interfaces All The Way: Tracks Case Study,,
https://css-tricks.com/snippets/css/a-guide-to-flexbox/, A Guide to Flexbox,,
http://www.sketchingwithcss.com/samplechapter/cheatsheet.html, The Ultimate Flexbox Cheatsheet,,
https://www.youtube.com/watch?v=XKpiP60HXwM, Eric Meyer, "The Era of Intentional Layout (W3Conf 2013)",,
https://events.drupal.org/losangeles2015/sessions/advanced-layouts-flexbox, Advanced Layout with Flexbox (Video),,
http://themeforest.net/item/flexbox-html5-template-responsive/4255224, Flexbox Examples on ThemeForest,,

https://css-tricks.com/snippets/css/complete-guide-grid/, A Complete Guide to Grid,,
https://youtu.be/Bv_5Zv5c-Ts, Javascript - Understanding the Weird Parts,,
https://github.com/wilsonpage/fastdom, FastDOM,,

https://www.processing.org/tutorials/drawing/, Coordinate System and Shapes,,
https://www.processing.org/, Processing.org,,
http://www-public.int-evry.fr/~gibson/Teaching/CSC7322/ReadingMaterial/Evans03.pdf, Domain-Driven Design,,
https://www.youtube.com/watch?v=hAIM1eEw-yU, DrupalCon Los Angeles 2015: The Battle for the Body Field,,
https://www.developphp.com, Develop PHP,,










